Date,StockPrice
6/1/1988,38.30954545
7/1/1988,37.5655
8/1/1988,38.52347826
9/1/1988,42.16952381
10/1/1988,43.10952381
11/1/1988,42.4247619
12/1/1988,44.1447619
1/1/1989,44.95428571
2/1/1989,47.36368421
3/1/1989,49.84272727
4/1/1989,52.6835
5/1/1989,56.33681818
6/1/1989,57.51454545
7/1/1989,59.846
8/1/1989,66.63347826
9/1/1989,63.938
10/1/1989,69.75318182
11/1/1989,74.57571429
12/1/1989,77.848
1/1/1990,73.17954545
2/1/1990,68.70210526
3/1/1990,72.85
4/1/1990,77.8605
5/1/1990,57.76136364
6/1/1990,44.65714286
7/1/1990,45.52571429
8/1/1990,42.65956522
9/1/1990,40.67315789
10/1/1990,42.78
11/1/1990,45.2352381
12/1/1990,47.4335
1/1/1991,46.19545455
2/1/1991,51.27894737
3/1/1991,53.152
4/1/1991,54.12681818
5/1/1991,55.11
6/1/1991,55.4275
7/1/1991,57.37772727
8/1/1991,63.54045455
9/1/1991,64.636
10/1/1991,63.8873913
11/1/1991,67.1155
12/1/1991,74.47380952
1/1/1992,77.19090909
2/1/1992,78.63526316
3/1/1992,81.32636364
4/1/1992,81.66952381
5/1/1992,57.7075
6/1/1992,41.86045455
7/1/1992,41.39363636
8/1/1992,42.92571429
9/1/1992,43.24142857
10/1/1992,39.58727273
11/1/1992,40.8585
12/1/1992,41.24636364
1/1/1993,41.702
2/1/1993,41.43631579
3/1/1993,42.58434783
4/1/1993,39.74714286
5/1/1993,40.128
6/1/1993,41.68954545
7/1/1993,43.70428571
8/1/1993,43.07
9/1/1993,43.12095238
10/1/1993,42.68238095
11/1/1993,41.88904762
12/1/1993,43.50136364
1/1/1994,42.21714286
2/1/1994,41.36315789
3/1/1994,41.63391304
4/1/1994,40.31842105
5/1/1994,40.54952381
6/1/1994,40.65045455
7/1/1994,42.2775
8/1/1994,45.21
9/1/1994,47.49047619
10/1/1994,49.82952381
11/1/1994,51.28809524
12/1/1994,51.29380952
1/1/1995,50.69952381
2/1/1995,53.24578947
3/1/1995,56.76391304
4/1/1995,58.02947368
5/1/1995,59.11636364
6/1/1995,62.29045455
7/1/1995,64.718
8/1/1995,64.99913043
9/1/1995,66.6735
10/1/1995,71.28136364
11/1/1995,73.56333333
12/1/1995,76.787
1/1/1996,74.12727273
2/1/1996,79.7545
3/1/1996,82.7952381
4/1/1996,81.37285714
5/1/1996,58.665
6/1/1996,47.0835
7/1/1996,47.25818182
8/1/1996,50.21863636
9/1/1996,51.5235
10/1/1996,49.75217391
11/1/1996,51.595
12/1/1996,50.50904762
1/1/1997,55.82136364
2/1/1997,60.27789474
